# WARNING: this file is not sorted!
# db	motif                         	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	1                             	2.7e-073	   5.5e-076	        -173.29	         0.0	      104	        490	         382	        719	  0.21224	2.3e-078	       244
   1	2                             	3.9e-042	   8.0e-045	        -101.54	         0.0	      183	        493	         347	        504	  0.37120	3.2e-047	       246
   1	3                             	1.9e0000	   4.0e-003	          -5.53	         0.0	       34	        486	          63	        518	  0.06996	1.6e-005	       242
   2	MCRCCCW                       	3.0e-062	   6.2e-065	        -147.85	         0.0	      126	        494	         355	        602	  0.25506	2.5e-067	       246
   2	TTATCW                        	1.2e-036	   2.5e-039	         -88.89	         0.0	      195	        495	         345	        497	  0.39394	1.0e-041	       247
   2	ARATA                         	5.0e-008	   1.0e-010	         -22.99	         0.0	      188	        496	         376	        738	  0.37903	4.2e-013	       247
   2	CCMCACCC                      	1.4e-035	   2.9e-038	         -86.45	         0.0	      111	        493	         231	        449	  0.22515	1.2e-040	       246
   2	ACAGMTG                       	2.6e-003	   5.4e-006	         -12.12	         0.0	      172	        494	          96	        173	  0.34818	2.2e-008	       246
   3	MA0002.2 RUNX1                	3.0e0000	   6.2e-003	          -5.08	         0.0	      128	        490	         263	        807	  0.26122	2.5e-005	       244
   3	MA0006.1 Arnt::Ahr            	5.9e0000	   1.2e-002	          -4.40	         0.0	      113	        495	         181	        609	  0.22828	5.0e-005	       247
   3	MA0027.1 En1                  	1.4e-001	   3.0e-004	          -8.12	         0.0	      130	        490	         293	        866	  0.26531	1.2e-006	       244
   3	MA0029.1 Evi1                 	6.6e-001	   1.4e-003	          -6.59	         0.0	      191	        487	          96	        171	  0.39220	5.7e-006	       243
   3	MA0035.2 Gata1                	8.8e-037	   1.8e-039	         -89.20	         0.0	      194	        490	         484	        756	  0.39592	7.5e-042	       244
   3	MA0036.1 GATA2                	2.0e-005	   4.1e-008	         -17.00	         0.0	      186	        496	         416	        866	  0.37500	1.7e-010	       247
   3	MA0037.1 GATA3                	1.9e-015	   4.0e-018	         -40.07	         0.0	      167	        495	         421	        858	  0.33737	1.6e-020	       247
   3	MA0039.2 Klf4                 	2.1e-063	   4.4e-066	        -150.50	         0.0	      111	        491	         376	        712	  0.22607	1.8e-068	       245
   3	MA0048.1 NHLH1                	9.3e0000	   1.9e-002	          -3.95	         0.0	       89	        489	         112	        438	  0.18200	8.0e-005	       244
   3	MA0079.1 SP1                  	5.5e-006	   1.1e-008	         -18.30	         0.0	      105	        491	         245	        780	  0.21385	4.6e-011	       245
   3	MA0121.1 ARR10                	2.8e0000	   5.8e-003	          -5.15	         0.0	      139	        493	         247	        699	  0.28195	2.4e-005	       246
   3	MA0130.1 ZNF354C              	5.5e-001	   1.1e-003	          -6.79	         0.0	      167	        495	         328	        793	  0.33737	4.6e-006	       247
   3	MA0139.1 CTCF                 	9.6e0000	   2.0e-002	          -3.92	         0.0	      382	        482	         244	        277	  0.79253	8.3e-005	       240
   3	MA0140.1 Tal1::Gata1          	1.3e-045	   2.7e-048	        -109.55	         0.0	      177	        483	         448	        693	  0.36646	1.1e-050	       241
   3	MA0145.1 Tcfcp2l1             	3.6e0000	   7.5e-003	          -4.89	         0.0	      105	        487	         176	        618	  0.21561	3.1e-005	       243
   3	MA0199.1 Optix                	5.4e-010	   1.1e-012	         -27.52	         0.0	      178	        496	         269	        509	  0.35887	4.5e-015	       247
   3	MA0201.1 Ptx1                 	7.3e0000	   1.5e-002	          -4.20	         0.0	      100	        494	          52	        154	  0.20243	6.1e-005	       246
   3	MA0204.1 Six4                 	3.5e-002	   7.2e-005	          -9.54	         0.0	      147	        495	         260	        670	  0.29697	2.9e-007	       247
   3	MA0207.1 achi                 	6.5e0000	   1.3e-002	          -4.31	         0.0	      117	        495	         165	        531	  0.23636	5.5e-005	       247
   3	MA0227.1 hth                  	3.6e0000	   7.4e-003	          -4.90	         0.0	      117	        495	         132	        406	  0.23636	3.0e-005	       247
   3	MA0259.1 HIF1A::ARNT          	1.1e0000	   2.3e-003	          -6.10	         0.0	      113	        493	         123	        376	  0.22921	9.2e-006	       246
   3	MA0270.1 AFT2                 	6.5e-031	   1.3e-033	         -75.69	         0.0	      129	        493	         251	        470	  0.26166	5.5e-036	       246
   3	MA0289.1 DAL80                	9.4e-036	   1.9e-038	         -86.84	         0.0	      138	        494	         316	        581	  0.27935	7.9e-041	       246
   3	MA0299.1 GAL4                 	8.6e0000	   1.8e-002	          -4.03	         0.0	      246	        486	         158	        252	  0.50617	7.4e-005	       242
   3	MA0300.1 GAT1                 	2.2e-037	   4.5e-040	         -90.60	         0.0	      183	        493	         352	        530	  0.37120	1.8e-042	       246
   3	MA0307.1 GLN3                 	4.6e-025	   9.4e-028	         -62.23	         0.0	      194	        496	         475	        805	  0.39113	3.8e-030	       247
   3	MA0309.1 GZF3                 	2.7e-032	   5.5e-035	         -78.89	         0.0	      151	        493	         322	        570	  0.30629	2.2e-037	       246
   3	MA0333.1 MET31                	9.2e-003	   1.9e-005	         -10.87	         0.0	       48	        492	          77	        423	  0.09756	7.8e-008	       245
   3	MA0334.1 MET32                	2.8e-006	   5.9e-009	         -18.96	         0.0	      114	        494	         268	        804	  0.23077	2.4e-011	       246
   3	MA0338.1 MIG2                 	3.5e0000	   7.2e-003	          -4.93	         0.0	       74	        494	         146	        706	  0.14980	2.9e-005	       246
   3	MA0403.1 TBF1                 	9.5e0000	   2.0e-002	          -3.94	         0.0	      177	        493	         343	        809	  0.35903	8.0e-005	       246
   3	MA0425.1 YGR067C              	2.3e-002	   4.8e-005	          -9.94	         0.0	      109	        487	         169	        527	  0.22382	2.0e-007	       243
   3	MA0443.1 btd                  	6.0e-005	   1.2e-007	         -15.90	         0.0	       95	        491	         144	        458	  0.19348	5.1e-010	       245
   3	MA0450.1 hkb                  	4.0e-015	   8.2e-018	         -39.34	         0.0	      100	        492	         134	        308	  0.20325	3.4e-020	       245
